onset	duration	subject	run	stimuli
0.033	14.987	192	1	InfOwnNeg
60.268	14.992	192	1	InfOwnNeg
211.143	14.993	192	1	InfOwnNeg
286.506	14.976	192	1	InfOwnNeg
377.075	14.993	192	1	InfOwnNeg
437.432	14.976	192	1	InfOwnNeg
75.279	14.988	192	1	InfOwnPos
105.502	14.977	192	1	InfOwnPos
150.753	14.992	192	1	InfOwnPos
196.054	14.96	192	1	InfOwnPos
346.846	14.993	192	1	InfOwnPos
392.197	14.994	192	1	InfOwnPos
45.112	15.041	192	1	InfOtherNeg
135.581	15.041	192	1	InfOtherNeg
180.898	15.042	192	1	InfOtherNeg
256.328	15.041	192	1	InfOtherNeg
301.545	15.042	192	1	InfOtherNeg
407.253	15.042	192	1	InfOtherNeg
15.034	15.057	192	1	InfOtherPos
90.33	15.041	192	1	InfOtherPos
165.809	15.041	192	1	InfOtherPos
241.222	15.041	192	1	InfOtherPos
316.651	15.042	192	1	InfOtherPos
361.902	15.042	192	1	InfOtherPos
30.091	15.021	192	1	fixation
120.479	15.102	192	1	fixation
226.136	15.086	192	1	fixation
271.369	15.137	192	1	fixation
331.693	15.153	192	1	fixation
422.295	15.137	192	1	fixation
452.408	9.592	192	1	fixation
