onset	duration	subject	run	stimuli
23.939	5.015	148	2	EmoLookNeg
31.579	5.016	148	2	EmoLookNeg
88.649	5.015	148	2	EmoLookNeg
94.784	5.015	148	2	EmoLookNeg
102.457	5.015	148	2	EmoLookNeg
193.177	5.015	148	2	EmoLookNeg
207.219	5.015	148	2	EmoLookNeg
220.291	5.015	148	2	EmoLookNeg
229.669	5.015	148	2	EmoLookNeg
243.009	5.015	148	2	EmoLookNeg
250.013	5.015	148	2	EmoLookNeg
266.897	5.015	148	2	EmoLookNeg
280.253	5.015	148	2	EmoLookNeg
356.865	5.015	148	2	EmoLookNeg
371.392	5.015	148	2	EmoLookNeg
3.06	5.015	148	2	EmoLookPos
9.379	5.015	148	2	EmoLookPos
16.534	5.015	148	2	EmoLookPos
81.527	5.015	148	2	EmoLookPos
109.946	5.015	148	2	EmoLookPos
199.914	5.015	148	2	EmoLookPos
213.889	5.015	148	2	EmoLookPos
236.54	5.015	148	2	EmoLookPos
256.616	5.015	148	2	EmoLookPos
273.149	5.015	148	2	EmoLookPos
286.739	5.015	148	2	EmoLookPos
294.546	5.015	148	2	EmoLookPos
341.586	5.015	148	2	EmoLookPos
349.042	5.015	148	2	EmoLookPos
364.438	5.015	148	2	EmoLookPos
42.294	5.015	148	2	EmoLabelNeg
55.767	5.015	148	2	EmoLabelNeg
119.106	5.015	148	2	EmoLabelNeg
132.362	5.015	148	2	EmoLabelNeg
140.035	5.015	148	2	EmoLabelNeg
156.685	5.015	148	2	EmoLabelNeg
163.422	5.015	148	2	EmoLabelNeg
177.397	5.015	148	2	EmoLabelNeg
183.799	5.015	148	2	EmoLabelNeg
311.229	5.015	148	2	EmoLabelNeg
324.703	5.015	148	2	EmoLabelNeg
331.306	5.015	148	2	EmoLabelNeg
408.536	5.015	148	2	EmoLabelNeg
433.628	5.015	148	2	EmoLabelNeg
448.154	5.015	148	2	EmoLabelNeg
48.613	5.015	148	2	EmoLabelPos
63.173	5.015	148	2	EmoLabelPos
70.812	5.015	148	2	EmoLabelPos
126.227	5.015	148	2	EmoLabelPos
147.524	5.015	148	2	EmoLabelPos
170.727	5.015	148	2	EmoLabelPos
304.359	5.015	148	2	EmoLabelPos
317.698	5.015	148	2	EmoLabelPos
380.853	5.029	148	2	EmoLabelPos
387.105	5.015	148	2	EmoLabelPos
394.26	5.021	148	2	EmoLabelPos
400.746	5.015	148	2	EmoLabelPos
418.349	5.015	148	2	EmoLabelPos
425.804	5.015	148	2	EmoLabelPos
441.2	5.015	148	2	EmoLabelPos
